cohort,seed,arm,gate,budget,random_seed,domain,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,group_macro_unsafe_recall_all,group_macro_unsafe_recall_all_eligible_groups,group_macro_FPR_all,group_macro_FPR_all_eligible_groups,group_macro_coverage,group_macro_coverage_eligible_groups
old_test_800,42,L_direct,G_random,0.1,5,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,36846,1110,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,6,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,37474,1283,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,6,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,3475,196,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,6,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33999,1087,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,7,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,39057,1281,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,7,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5197,198,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,7,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33860,1083,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,8,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,39315,1281,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,8,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5287,201,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,8,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,34028,1080,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,9,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,39536,1293,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,9,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5708,209,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,9,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33828,1084,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,10,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,39966,1299,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,10,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,3215,190,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,10,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,36751,1109,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,11,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38119,1291,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,11,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,4084,208,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,11,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,34035,1083,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,12,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,41088,1317,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,12,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,4627,210,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,12,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,36461,1107,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,13,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38697,1303,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,13,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5294,220,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,13,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33403,1083,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,14,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38198,1297,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,14,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,4333,214,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,14,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33865,1083,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,15,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,37376,1282,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,15,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,3854,198,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,15,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33522,1084,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,16,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,40011,1291,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,16,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,6366,201,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,16,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33645,1090,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,17,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38353,1294,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,17,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,4526,211,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,17,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33827,1083,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,18,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38292,1274,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,18,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,3065,184,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,18,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,35227,1090,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_random,0.1,19,combined,95,0,35,61,35,60,1,0,0,0,18,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.1875,18,0.1875,38334,1283,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_random,0.1,19,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,4832,199,1.0,0,1.0,1,0.0,1,1.0,1
old_test_800,42,L_direct,G_random,0.1,19,workspace,83,0,32,52,32,51,1,0,0,0,15,70,14,0,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.17857142857142858,15,0.17857142857142858,33502,1084,0.9871794871794872,0,1.0,6,0.020833333333333332,6,1.0,6
old_test_800,42,L_direct,G_uncertainty,0.25,,combined,95,0,35,61,35,60,1,0,0,0,39,82,14,0,0,0,0,0,82,13,1,0,0,0,0,0,0,0,96,7,0.9895833333333334,1.0,1.0,1.0,0.01639344262295082,0.01639344262295082,0.40625,39,0.40625,92933,2883,0.989010989010989,0,1.0,7,0.017857142857142856,7,1.0,7
old_test_800,42,L_direct,G_uncertainty,0.25,,slack,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,5185,216,1.0,0,1.0,1,0.0,1,1.0,1
