cohort,seed,arm,gate,budget,random_seed,domain,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction,group_macro_unsafe_recall_all,group_macro_unsafe_recall_all_eligible_groups,group_macro_FPR_all,group_macro_FPR_all_eligible_groups,group_macro_coverage,group_macro_coverage_eligible_groups,selected_common_point,recall_target_met,FPR_target_met,role
old_test_800,43,L_direct,G_uncertainty,0.25,,workspace,83,0,32,52,32,51,1,0,0,0,38,70,14,3,0,0,0,0,70,13,1,0,0,0,0,0,0,0,84,6,0.9880952380952381,1.0,1.0,1.0,0.019230769230769232,0.019230769230769232,0.4523809523809524,38,0.4523809523809524,90902,2762,0.9871794871794872,3,1.0,6,0.020833333333333332,6,1.0,6,False,True,True,existing_point_reference_not_selection
old_test_800,43,L_direct,G_uncertainty,0.5,,combined,93,0,35,61,35,58,3,0,0,0,57,82,14,3,2,0,0,0,80,13,1,0,0,0,0,0,0,0,96,7,0.96875,1.0,1.0,1.0,0.04918032786885246,0.04918032786885246,0.59375,57,0.59375,124974,4114,0.9686028257456829,1,1.0,7,0.0496031746031746,7,1.0,7,False,True,True,existing_point_reference_not_selection
old_test_800,43,L_direct,G_uncertainty,0.5,,slack,12,0,3,9,3,9,0,0,0,0,9,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.75,9,0.75,15763,625,1.0,0,1.0,1,0.0,1,1.0,1,False,True,True,existing_point_reference_not_selection
old_test_800,43,L_direct,G_uncertainty,0.5,,workspace,81,0,32,52,32,49,3,0,0,0,48,70,14,3,2,0,0,0,68,13,1,0,0,0,0,0,0,0,84,6,0.9642857142857143,1.0,1.0,1.0,0.057692307692307696,0.057692307692307696,0.5714285714285714,48,0.5714285714285714,109211,3489,0.9633699633699634,1,1.0,6,0.05787037037037037,6,1.0,6,False,True,False,existing_point_reference_not_selection
old_test_800,43,L_relation,G_uncertainty,0.1,,combined,94,1,35,61,35,59,1,0,0,1,20,82,14,3,0,0,0,0,82,12,1,1,0,0,1,0,0,0,96,7,0.9791666666666666,0.9895833333333334,1.0,1.0,0.01639344262295082,0.016666666666666666,0.20833333333333334,20,0.20833333333333334,50067,9004,0.9794871794871794,3,1.0,7,0.015873015873015872,7,0.989010989010989,7,False,True,True,existing_point_reference_not_selection
old_test_800,43,L_relation,G_uncertainty,0.1,,slack,12,0,3,9,3,9,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,1.0,1,0.0,1,1.0,1,False,True,True,existing_point_reference_not_selection
old_test_800,43,L_relation,G_uncertainty,0.1,,workspace,82,1,32,52,32,50,1,0,0,1,20,70,14,3,0,0,0,0,70,12,1,1,0,0,1,0,0,0,84,6,0.9761904761904762,0.9880952380952381,1.0,1.0,0.019230769230769232,0.0196078431372549,0.23809523809523808,20,0.23809523809523808,50067,9004,0.976068376068376,3,1.0,6,0.018518518518518517,6,0.9871794871794872,6,False,True,True,existing_point_reference_not_selection
old_test_800,43,L_relation,G_uncertainty,0.25,,combined,94,1,35,61,35,59,1,0,0,1,39,82,14,3,0,0,0,0,82,12,1,1,0,0,1,0,0,0,96,7,0.9791666666666666,0.9895833333333334,1.0,1.0,0.01639344262295082,0.016666666666666666,0.40625,39,0.40625,98297,17375,0.9794871794871794,3,1.0,7,0.015873015873015872,7,0.989010989010989,7,False,True,True,existing_point_reference_not_selection
old_test_800,43,L_relation,G_uncertainty,0.25,,slack,12,0,3,9,3,9,0,0,0,0,1,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.08333333333333333,1,0.08333333333333333,1467,441,1.0,0,1.0,1,0.0,1,1.0,1,False,True,True,existing_point_reference_not_selection
old_test_800,43,L_relation,G_uncertainty,0.25,,workspace,82,1,32,52,32,50,1,0,0,1,38,70,14,3,0,0,0,0,70,12,1,1,0,0,1,0,0,0,84,6,0.9761904761904762,0.9880952380952381,1.0,1.0,0.019230769230769232,0.0196078431372549,0.4523809523809524,38,0.4523809523809524,96830,16934,0.976068376068376,3,1.0,6,0.018518518518518517,6,0.9871794871794872,6,False,True,True,existing_point_reference_not_selection
old_test_800,43,L_relation,G_uncertainty,0.5,,combined,93,1,35,61,35,58,2,0,0,1,57,82,14,3,1,0,0,0,81,12,1,1,0,0,1,0,0,0,96,7,0.96875,0.9895833333333334,1.0,1.0,0.03278688524590164,0.03333333333333333,0.59375,57,0.59375,133866,24982,0.9692830978545265,2,1.0,7,0.031746031746031744,7,0.989010989010989,7,False,True,True,existing_point_reference_not_selection
old_test_800,43,L_relation,G_uncertainty,0.5,,slack,12,0,3,9,3,9,0,0,0,0,9,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.75,9,0.75,17167,3941,1.0,0,1.0,1,0.0,1,1.0,1,False,True,True,existing_point_reference_not_selection
