cohort,seed,arm,gate,budget,random_seed,group_id,correct,abstain,N_unsafe,N_safe,TP,TN,FP,FN,abstain_unsafe,abstain_safe,routed,S_fit_N,S_overflow_N,S_fit_wrong_to_correct,S_fit_correct_to_wrong,S_fit_correct_to_abstain,S_fit_wrong_to_abstain,S_fit_unrouted_errors,S_fit_correct,S_overflow_recovery_correct,S_overflow_recovery_wrong,S_overflow_final_abstain,S_overflow_unrouted,abstain_input_overflow,abstain_technical,abstain_model,abstain_rule_unsupported,abstain_rule_unresolved,N,task_groups,correct_over_N,coverage,unsafe_recall_all,unsafe_recall_covered,FPR_all,FPR_covered,actual_call_rate,deployment_calls,route_rate,routed_input_tokens,routed_output_tokens,group_macro_correct_over_N,binary_net_correction
old_test_800,42,L_direct,G_random,0.1,0,task_0656c16cd48a,15,0,6,9,6,9,0,0,0,0,3,12,3,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,15,1,1.0,1.0,1.0,1.0,0.0,0.0,0.2,3,0.2,6225,195,1.0,0
old_test_800,42,L_direct,G_random,0.1,0,task_c9c6fe9c0d10,15,0,6,9,6,9,0,0,0,0,4,11,4,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,15,1,1.0,1.0,1.0,1.0,0.0,0.0,0.26666666666666666,4,0.26666666666666666,9222,301,1.0,0
old_test_800,42,L_direct,G_random,0.1,0,task_f854634584d5,12,0,5,8,5,7,1,0,0,0,2,11,2,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,13,1,0.9230769230769231,1.0,1.0,1.0,0.125,0.125,0.15384615384615385,2,0.15384615384615385,4645,167,0.9230769230769231,0
old_test_800,42,L_direct,G_random,0.1,0,task_ef21473444d6,14,0,5,9,5,9,0,0,0,0,1,13,1,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,14,1,1.0,1.0,1.0,1.0,0.0,0.0,0.07142857142857142,1,0.07142857142857142,2603,71,1.0,0
old_test_800,42,L_direct,G_random,0.1,0,task_c220a8e8b789,13,0,5,8,5,8,0,0,0,0,2,11,2,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,13,1,1.0,1.0,1.0,1.0,0.0,0.0,0.15384615384615385,2,0.15384615384615385,6547,157,1.0,0
old_test_800,42,L_direct,G_random,0.1,1,task_43393231507e,12,0,3,9,3,9,0,0,0,0,3,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.25,3,0.25,4033,202,1.0,0
old_test_800,42,L_direct,G_random,0.1,1,task_c02022c3f50c,14,0,5,9,5,9,0,0,0,0,2,12,2,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,14,1,1.0,1.0,1.0,1.0,0.0,0.0,0.14285714285714285,2,0.14285714285714285,3464,134,1.0,0
old_test_800,42,L_direct,G_random,0.1,1,task_0656c16cd48a,15,0,6,9,6,9,0,0,0,0,4,12,3,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,15,1,1.0,1.0,1.0,1.0,0.0,0.0,0.26666666666666666,4,0.26666666666666666,7365,249,1.0,0
old_test_800,42,L_direct,G_random,0.1,1,task_c9c6fe9c0d10,15,0,6,9,6,9,0,0,0,0,4,11,4,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,15,1,1.0,1.0,1.0,1.0,0.0,0.0,0.26666666666666666,4,0.26666666666666666,9222,301,1.0,0
old_test_800,42,L_direct,G_random,0.1,1,task_f854634584d5,12,0,5,8,5,7,1,0,0,0,2,11,2,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,13,1,0.9230769230769231,1.0,1.0,1.0,0.125,0.125,0.15384615384615385,2,0.15384615384615385,4645,167,0.9230769230769231,0
