run,epoch,split,loss,macro_F1,positive_fraction
debug_fit32,1,train,0.69135557487607,0.3333333333333333,0.0
debug_fit32,1,dev,0.5712767716582495,0.43043478260869567,0.0
debug_fit32,2,train,0.6412580767646432,0.3333333333333333,1.0
debug_fit32,2,dev,0.7679452168122503,0.19631901840490798,1.0
debug_fit32,3,train,0.5575988683849573,0.9054187192118226,0.59375
debug_fit32,3,dev,0.6279476974301665,0.7149175149175149,0.3435114503816794
debug_fit32,4,train,0.37536586250644177,0.873015873015873,0.625
debug_fit32,4,dev,0.5807614389607925,0.6851984152757031,0.4351145038167939
debug_fit32,5,train,0.1900632008910179,1.0,0.5
debug_fit32,5,dev,0.4430650080490203,0.773747841105354,0.2824427480916031
E_field_seed42,1,train,0.24542242487990187,0.8131063254530646,0.13743218806509946
E_field_seed42,1,dev,0.47964554319854913,0.6880952380952381,0.07633587786259542
E_field_seed42,2,train,0.10472660865062076,0.9561939376994943,0.2314647377938517
E_field_seed42,2,dev,0.46379854680813903,0.8560439560439561,0.15267175572519084
E_field_seed42,3,train,0.08986167383344867,0.9668717310661045,0.23869801084990958
E_field_seed42,3,dev,0.35190473451414184,0.9114266396213657,0.1984732824427481
E_field_seed42,4,train,0.01992972057218416,0.9894830930736753,0.21880650994575046
E_field_seed42,4,dev,0.3173862841435289,0.9215233204963629,0.19083969465648856
E_field_seed42,5,train,0.015469830805287573,0.9922256118991719,0.22784810126582278
E_field_seed42,5,dev,0.19927699369812057,0.9465785824973494,0.22137404580152673
E_field_seed42,6,train,0.0017931974674221364,0.9973936363250744,0.22423146473779385
E_field_seed42,6,dev,0.21868553128047272,0.9453118477081073,0.20610687022900764
E_field_seed42,7,train,0.0007282035911807734,1.0,0.2224231464737794
E_field_seed42,7,dev,0.37749293274894885,0.9215233204963629,0.19083969465648856
E_field_seed42,8,train,0.00017612125098479618,1.0,0.2224231464737794
E_field_seed42,8,dev,0.26315163802586583,0.9453118477081073,0.20610687022900764
E_field_seed43,1,train,0.15315801977343305,0.92498413740291,0.27486437613019893
E_field_seed43,1,dev,0.25826053507626057,0.867005076142132,0.25190839694656486
E_field_seed43,2,train,0.17929956335094413,0.9314017366648946,0.26582278481012656
E_field_seed43,2,dev,0.34113999530104283,0.8357023411371238,0.3511450381679389
E_field_seed43,3,train,0.024819987777209628,0.9947415465368377,0.21880650994575046
E_field_seed43,3,dev,0.32428630780542395,0.9215233204963629,0.19083969465648856
E_field_seed43,4,train,0.017211498887780008,0.9922256118991719,0.22784810126582278
E_field_seed43,4,dev,0.26272688683332124,0.9379734848484849,0.24427480916030533
E_field_seed43,5,train,0.03976023419026309,0.9895443373038382,0.2224231464737794
E_field_seed43,5,dev,0.20185192254325732,0.957741935483871,0.22900763358778625
E_field_seed43,6,train,0.0003011745997960553,1.0,0.2224231464737794
E_field_seed43,6,dev,0.23561793340517578,0.9453118477081073,0.20610687022900764
E_field_seed43,7,train,0.00030084397475602304,1.0,0.2224231464737794
E_field_seed43,7,dev,0.20843570317094612,0.957741935483871,0.22900763358778625
E_field_seed43,8,train,0.0001578347582835704,1.0,0.2224231464737794
E_field_seed43,8,dev,0.2263984694689928,0.957741935483871,0.22900763358778625
E_field_seed44,1,train,0.26785991134738407,0.8793235133660666,0.24773960216998192
E_field_seed44,1,dev,0.34861545162346524,0.7753001715265866,0.16030534351145037
E_field_seed44,2,train,0.1107923949598781,0.9546312248748872,0.20976491862567812
E_field_seed44,2,dev,0.5433179016388555,0.8417433324040517,0.1450381679389313
E_field_seed44,3,train,0.05058651405283895,0.9787143956889915,0.2115732368896926
E_field_seed44,3,dev,0.5416864378072094,0.8417433324040517,0.1450381679389313
E_field_seed44,4,train,0.012381686825767516,0.987115864029263,0.2314647377938517
E_field_seed44,4,dev,0.21683334962834555,0.9366129032258064,0.22900763358778625
E_field_seed44,5,train,0.0009376446727644753,1.0,0.2224231464737794
E_field_seed44,5,dev,0.29127770465934644,0.9465785824973494,0.22137404580152673
E_field_seed44,6,train,0.00022691692945389093,1.0,0.2224231464737794
E_field_seed44,6,dev,0.2967671218302851,0.9335699797160244,0.1984732824427481
E_field_seed44,7,train,0.0001305707919922494,1.0,0.2224231464737794
E_field_seed44,7,dev,0.3440102895743788,0.9335699797160244,0.1984732824427481
E_field_seed44,8,train,0.00011020297522254114,1.0,0.2224231464737794
E_field_seed44,8,dev,0.2840626811051478,0.9465785824973494,0.22137404580152673
E_head_seed42,1,train,0.3218062655296291,0.7686458196613729,0.32730560578661844
E_head_seed42,1,dev,0.5828568091374318,0.7237797735259665,0.25190839694656486
E_head_seed42,2,train,0.29423278516283086,0.6360978257182592,0.05786618444846293
E_head_seed42,2,dev,0.5436163380855822,0.6174065420560748,0.12213740458015267
E_head_seed42,3,train,0.2929145081564919,0.7789594958931594,0.3707052441229656
E_head_seed42,3,dev,0.5314966176302378,0.5253905089980401,0.6183206106870229
E_head_seed42,4,train,0.29171316964285715,0.6511041009463723,0.05786618444846293
E_head_seed42,4,dev,0.5601297066411899,0.43043478260869567,0.0
E_head_seed42,5,train,0.2460329183133127,0.806737960438946,0.2314647377938517
E_head_seed42,5,dev,0.6635711081610381,0.5981197427016328,0.11450381679389313
E_head_seed42,6,train,0.24560384683405298,0.8219261600024044,0.28933092224231466
E_head_seed42,6,dev,0.727305734032438,0.689659977703456,0.3511450381679389
E_head_seed42,7,train,0.22270740625898186,0.8196817529672623,0.14647377938517178
E_head_seed42,7,dev,0.5118965667224568,0.6570371039090006,0.16030534351145037
E_head_seed42,8,train,0.2108308900986372,0.8200647559915295,0.15551537070524413
E_head_seed42,8,dev,0.6190546872591927,0.6360065152821692,0.1297709923664122
